Crop,Yield_Per_Acre,Harvest_to_Profit_Days,Min_Budget_Per_Acre
Bajra(Pearl Millet/Cumbu),8,120,15000
Banana,100,100,55000
Bhindi(Ladies Finger),12,120,25000
Bitter gourd,12,120,25000
Bottle gourd,12,120,25000
Brinjal,12,120,25000
Capsicum,12,120,25000
Cucumber(Kheera),12,120,25000
Green Avare(W),12,120,25000
Green Chilli,12,120,25000
Groundnut,12,120,25000
Guava,12,120,25000
Jowar(Sorghum),8,120,15000
Karbuja(Musk Melon),12,120,25000
Lemon,12,120,25000
Maize,20,140,30000
Mango,12,120,25000
Mango(Raw-Ripe),12,120,25000
Millets,8,120,15000
Mustard,12,120,25000
Onion,100,100,55000
Onion Green,100,100,55000
Orange,12,120,25000
Papaya,12,120,25000
Papaya(Raw),12,120,25000
Pomegranate,12,120,25000
Pumpkin,12,120,25000
Red Gram,12,120,25000
Ridgegourd(Tori),12,120,25000
Round gourd,12,120,25000
Season Leaves,12,120,25000
"Sesamum(Sesame,Gingelly,Til)",12,120,25000
Snakegourd,12,120,25000
Soanf,12,120,25000
Soyabean,12,120,25000
Sponge gourd,12,120,25000
Sugarcane,350,360,75000
Surat Beans(Papadi),12,120,25000
Sweet Pumpkin,12,120,25000
Tamarind Fruit,12,120,25000
Tender Coconut,12,120,25000
Thondekai,12,120,25000
Tomatao,12,120,25000
Water Melon,12,120,25000
Wheat,20,140,30000
Cabbage,100,100,55000
Carrot,12,120,25000
Cauliflower,100,100,55000
Coconut,12,120,25000
Ginger(Green),20,240,85000
Green Peas,12,120,25000
Marigold(Calcutta),12,120,25000
Marigold(loose),12,120,25000
Pineapple,12,120,25000
Potato,100,100,55000
Raddish,12,120,25000
Rose(Local),12,120,25000
Rubber,12,120,25000
Seemebadnekai,12,120,25000
Spinach,12,120,25000
Sweet Potato,100,100,55000
Turmeric,20,240,85000
White Peas,12,120,25000
Beans,12,120,25000
Jute,12,120,25000
Paddy(Basmati),20,140,30000
Paddy(Common),20,140,30000
Pointed gourd(Parval),12,120,25000
Rice,20,140,30000
